image_file,image_relative_path,image_absolute_path,origin_file,origin_relative_path,origin_absolute_path,model_id,classification,geometry_type,renderer_backend,phi_azimuth_deg,theta_polar_deg,elevation_deg,camera_convention,camera_x,camera_y,camera_z,target_x,target_y,target_z,up_x,up_y,up_z,camera_distance,vertical_fov_deg,image_width_px,image_height_px,point_size_px,vertex_count,triangle_count,point_count,has_vertex_colors,has_vertex_normals,used_default_color,computed_vertex_normals,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_center_x,bbox_center_y,bbox_center_z,bounding_sphere_radius,origin_size_bytes,origin_modified_utc,origin_sha256,render_status,rendered_utc
HAD93_3075_1__phi_220__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_220__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_220__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,220,20,70,phi: +X toward +Y; theta: down from +Z,-71.44506073,-51.92022324,764.9356079,-2.72685,5.7412,518.4725,0.7198463082,0.6040228009,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.978736+00:00
HAD93_3075_1__phi_240__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_240__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_240__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,240,20,70,phi: +X toward +Y; theta: down from +Z,-47.5794754,-71.94582367,764.9356079,-2.72685,5.7412,518.4725,0.469846338,0.8137977123,0.3420201838,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.037361+00:00
HAD93_3075_1__phi_260__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_260__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_260__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,260,20,70,phi: +X toward +Y; theta: down from +Z,-18.30400276,-82.60122681,764.9356079,-2.72685,5.7412,518.4725,0.1631759107,0.9254165888,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.093467+00:00
HAD93_3075_1__phi_280__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_280__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_280__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,280,20,70,phi: +X toward +Y; theta: down from +Z,12.85030365,-82.60122681,764.9356079,-2.72685,5.7412,518.4725,-0.1631759107,0.9254165888,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.145305+00:00
HAD93_3075_1__phi_300__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_300__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_300__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,300,20,70,phi: +X toward +Y; theta: down from +Z,42.1257782,-71.94582367,764.9356079,-2.72685,5.7412,518.4725,-0.469846338,0.8137977123,0.3420201838,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.199202+00:00
HAD93_3075_1__phi_320__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_320__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_320__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,320,20,70,phi: +X toward +Y; theta: down from +Z,65.9913559,-51.92022324,764.9356079,-2.72685,5.7412,518.4725,-0.7198463082,0.6040228009,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.254131+00:00
HAD93_3075_1__phi_340__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_340__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_340__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,340,20,70,phi: +X toward +Y; theta: down from +Z,81.56851196,-24.93980408,764.9356079,-2.72685,5.7412,518.4725,-0.8830222487,0.3213938177,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.309126+00:00
HAD93_3075_1__phi_000__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_000__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_000__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,0,40,50,phi: +X toward +Y; theta: down from +Z,165.8638763,5.74119997,719.3910522,-2.72685,5.7412,518.4725,-0.7660444379,-0,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.361989+00:00
HAD93_3075_1__phi_020__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_020__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_020__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,20,40,50,phi: +X toward +Y; theta: down from +Z,155.6966095,63.40262222,719.3910522,-2.72685,5.7412,518.4725,-0.7198463082,-0.2620026171,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.412252+00:00
HAD93_3075_1__phi_040__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_040__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_040__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,40,40,50,phi: +X toward +Y; theta: down from +Z,126.4211273,114.10923,719.3910522,-2.72685,5.7412,518.4725,-0.5868240595,-0.4924038649,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.459992+00:00
HAD93_3075_1__phi_060__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_060__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_060__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,60,40,50,phi: +X toward +Y; theta: down from +Z,81.56851196,151.7450562,719.3910522,-2.72685,5.7412,518.4725,-0.3830222189,-0.6634139419,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.508987+00:00
HAD93_3075_1__phi_080__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_080__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_080__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,80,40,50,phi: +X toward +Y; theta: down from +Z,26.54862213,171.7706604,719.3910522,-2.72685,5.7412,518.4725,-0.1330222189,-0.7544065118,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.561880+00:00
HAD93_3075_1__phi_100__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_100__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_100__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,100,40,50,phi: +X toward +Y; theta: down from +Z,-32.00232315,171.7706604,719.3910522,-2.72685,5.7412,518.4725,0.1330222189,-0.7544065118,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.609891+00:00
HAD93_3075_1__phi_120__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_120__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_120__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,120,40,50,phi: +X toward +Y; theta: down from +Z,-87.0222168,151.7450562,719.3910522,-2.72685,5.7412,518.4725,0.3830222189,-0.6634139419,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.660564+00:00
HAD93_3075_1__phi_140__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_140__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_140__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,140,40,50,phi: +X toward +Y; theta: down from +Z,-131.8748322,114.10923,719.3910522,-2.72685,5.7412,518.4725,0.5868240595,-0.4924038649,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.710242+00:00
HAD93_3075_1__phi_160__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_160__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_160__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,160,40,50,phi: +X toward +Y; theta: down from +Z,-161.1503143,63.40262222,719.3910522,-2.72685,5.7412,518.4725,0.7198463082,-0.2620026171,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.758510+00:00
HAD93_3075_1__phi_180__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_180__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_180__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,180,40,50,phi: +X toward +Y; theta: down from +Z,-171.3175812,5.74119997,719.3910522,-2.72685,5.7412,518.4725,0.7660444379,-9.381338554e-17,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.812515+00:00
HAD93_3075_1__phi_200__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_200__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_200__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,200,40,50,phi: +X toward +Y; theta: down from +Z,-161.1503143,-51.92022324,719.3910522,-2.72685,5.7412,518.4725,0.7198463082,0.2620026171,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.884748+00:00
HAD93_3075_1__phi_220__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_220__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_220__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,220,40,50,phi: +X toward +Y; theta: down from +Z,-131.8748322,-102.6268234,719.3910522,-2.72685,5.7412,518.4725,0.5868240595,0.4924038649,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.938442+00:00
HAD93_3075_1__phi_240__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_240__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_240__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,240,40,50,phi: +X toward +Y; theta: down from +Z,-87.0222168,-140.2626648,719.3910522,-2.72685,5.7412,518.4725,0.3830222189,0.6634139419,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:22.993663+00:00
HAD93_3075_1__phi_260__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_260__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_260__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,260,40,50,phi: +X toward +Y; theta: down from +Z,-32.00232315,-160.288269,719.3910522,-2.72685,5.7412,518.4725,0.1330222189,0.7544065118,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:23.052405+00:00
HAD93_3075_1__phi_280__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_280__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_280__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,280,40,50,phi: +X toward +Y; theta: down from +Z,26.54862213,-160.288269,719.3910522,-2.72685,5.7412,518.4725,-0.1330222189,0.7544065118,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:23.110496+00:00
HAD93_3075_1__phi_300__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_300__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_300__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,300,40,50,phi: +X toward +Y; theta: down from +Z,81.56851196,-140.2626648,719.3910522,-2.72685,5.7412,518.4725,-0.3830222189,0.6634139419,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:23.164307+00:00
HAD93_3075_1__phi_320__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_320__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_320__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,320,40,50,phi: +X toward +Y; theta: down from +Z,126.4211273,-102.6268234,719.3910522,-2.72685,5.7412,518.4725,-0.5868240595,0.4924038649,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:23.218413+00:00
HAD93_3075_1__phi_340__theta_040.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_340__theta_040.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_340__theta_040.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,340,40,50,phi: +X toward +Y; theta: down from +Z,155.6966095,-51.92022324,719.3910522,-2.72685,5.7412,518.4725,-0.7198463082,0.2620026171,0.6427876353,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:23.273162+00:00
HAD93_3075_1__phi_000__theta_060.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_000__theta_060.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_000__theta_060.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,0,60,30,phi: +X toward +Y; theta: down from +Z,224.4148102,5.74119997,649.612793,-2.72685,5.7412,518.4725,-0.5,-0,0.8660253882,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:23.326705+00:00
HAD93_3075_1__phi_020__theta_060.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_020__theta_060.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_020__theta_060.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,20,60,30,phi: +X toward +Y; theta: down from +Z,210.7164917,83.42823029,649.612793,-2.72685,5.7412,518.4725,-0.4698463082,-0.171010077,0.8660253882,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:23.397755+00:00
HAD93_3075_1__phi_040__theta_060.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_040__theta_060.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_040__theta_060.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,40,60,30,phi: +X toward +Y; theta: down from +Z,171.2737579,151.7450562,649.612793,-2.72685,5.7412,518.4725,-0.3830222189,-0.3213938177,0.8660253882,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:23.461123+00:00
HAD93_3075_1__phi_060__theta_060.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_060__theta_060.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_060__theta_060.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,60,60,30,phi: +X toward +Y; theta: down from +Z,110.8439789,202.4516449,649.612793,-2.72685,5.7412,518.4725,-0.25,-0.4330126941,0.8660253882,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:23.516233+00:00
